timestamp,open,high,low,close,volume
2025-01-01 00:00:00+00:00,43055.23,43105.48,43004.97,43055.23,88.5644
2025-01-01 00:15:00+00:00,43055.23,43151.48,43009.56,43105.82,143.2863
2025-01-01 00:30:00+00:00,43105.82,43200.3,43031.53,43126.01,92.3039
2025-01-01 00:45:00+00:00,43126.01,43220.51,43027.26,43121.76,98.4454
2025-01-01 01:00:00+00:00,43121.76,43150.11,43092.65,43121.0,108.3812
2025-01-01 01:15:00+00:00,43121.0,43185.87,42967.59,43032.46,139.7882
2025-01-01 01:30:00+00:00,43032.46,43126.8,42955.85,43050.19,83.4224
2025-01-01 01:45:00+00:00,43050.19,43084.28,43005.35,43039.44,133.1658
2025-01-01 02:00:00+00:00,43039.44,43114.36,42987.13,43062.05,71.2655
2025-01-01 02:15:00+00:00,43062.05,43139.76,43008.54,43086.24,169.8098
2025-01-01 02:30:00+00:00,43086.24,43239.36,42994.5,43147.62,114.8852
2025-01-01 02:45:00+00:00,43147.62,43205.11,43082.91,43140.4,84.9622
2025-01-01 03:00:00+00:00,43140.4,43187.68,43114.59,43161.87,178.377
2025-01-01 03:15:00+00:00,43161.87,43319.01,43077.59,43234.72,77.0634
2025-01-01 03:30:00+00:00,43234.72,43279.08,43174.1,43218.46,81.8152
2025-01-01 03:45:00+00:00,43218.46,43272.99,43172.68,43227.22,50.7732
2025-01-01 04:00:00+00:00,43227.22,43271.18,43192.48,43236.44,100.607
2025-01-01 04:15:00+00:00,43236.44,43271.66,43154.53,43189.75,150.7492
2025-01-01 04:30:00+00:00,43189.75,43276.32,43124.26,43210.83,27.2718
2025-01-01 04:45:00+00:00,43210.83,43294.61,43085.25,43169.03,51.3426
2025-01-01 05:00:00+00:00,43169.03,43299.88,43099.53,43230.39,118.7208
2025-01-01 05:15:00+00:00,43230.39,43293.31,43119.23,43182.16,133.3602
2025-01-01 05:30:00+00:00,43182.16,43239.46,43139.48,43196.78,170.137
2025-01-01 05:45:00+00:00,43196.78,43243.96,43149.54,43196.71,87.9106
2025-01-01 06:00:00+00:00,43196.71,43257.75,43154.17,43215.21,152.024
2025-01-01 06:15:00+00:00,43215.21,43284.64,43167.88,43237.31,58.871
2025-01-01 06:30:00+00:00,43237.31,43289.14,43151.96,43203.79,34.4327
2025-01-01 06:45:00+00:00,43203.79,43294.21,43132.28,43222.7,64.7492
2025-01-01 07:00:00+00:00,43222.7,43257.21,43165.12,43199.62,38.639
2025-01-01 07:15:00+00:00,43199.62,43263.84,43163.3,43227.52,63.9833
2025-01-01 07:30:00+00:00,43227.52,43256.78,43150.8,43180.05,176.7135
2025-01-01 07:45:00+00:00,43180.05,43262.72,43067.24,43149.91,56.5803
2025-01-01 08:00:00+00:00,43149.91,43216.05,43081.28,43147.42,37.7574
